Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
79,4693,4713,5289,5526,5774,5946,6546,6760,6698,7186,7408,7859,8162,8271,8797,9233,9430,9915,10266,10284,10415,11028,10907,11604,11312,11669,12301,12130,12499,12794,12784,13368,14098,14247,14748,14850,14826,15345,15782,16166,15917,15921,17396,17800,18232,17415,17771,17891,17455,18488,22435,21712,22148,22949,22530,22852,23709,23903,25077,25763,27138,27637,28642,28857,29950,30635,31887,32574,35060,35803,37702
80,3794,4030,3955,4504,4687,4939,5074,5536,5780,5704,6141,6442,6797,6994,7140,7643,7952,8172,8611,8842,8912,9032,9516,9383,10054,9843,10233,10665,10574,10895,11256,11205,11698,12376,12502,12910,13048,13042,13517,13965,14146,14049,14064,15371,15717,16257,15459,15717,15966,15611,16614,20083,19495,19871,20655,20435,20764,21643,21967,22999,23646,25041,25636,26504,26772,27837,28501,29740,30362,32797,33522
81,2936,3144,3376,3267,3768,3976,4133,4205,4692,4850,4850,5319,5478,5706,5878,6064,6443,6723,6951,7319,7547,7592,7729,8067,8007,8650,8525,8735,9216,9060,9373,9752,9641,10253,10725,10882,11201,11336,11431,11664,12081,12253,12240,12288,13390,13847,14299,13561,13778,14129,13777,14673,17745,17267,17693,18390,18295,18728,19648,20016,20965,21672,22809,23540,24375,24659,25619,26320,27504,28145,30413
82,2374,2376,2549,2773,2647,3136,3271,3358,3505,3877,3994,4109,4455,4603,4720,4996,5052,5387,5642,5794,6122,6345,6361,6450,6753,6796,7424,7194,7551,7849,7754,7994,8321,8246,8773,9188,9346,9572,9770,9848,9907,10408,10496,10592,10496,11639,11962,12381,11760,11998,12378,11940,12858,15563,15175,15673,16315,16294,16755,17637,18070,18930,19539,20659,21370,22237,22470,23406,24152,25209,25859
83,1892,1895,1942,2052,2244,2126,2550,2559,2687,2824,3182,3375,3352,3553,3766,3912,4103,4181,4429,4620,4769,5024,5287,5237,5330,5652,5767,6174,6040,6393,6596,6523,6750,6958,6978,7384,7681,7885,8153,8190,8234,8404,8796,8944,8943,9018,9843,10089,10588,10076,10220,10566,10267,11088,13529,13283,13701,14334,14443,14860,15632,16084,16994,17453,18525,19342,20056,20137,21233,21856,22957
84,1373,1470,1464,1563,1603,1753,1641,1970,2049,2155,2210,2558,2707,2656,2815,3111,3093,3311,3420,3558,3707,3873,4031,4199,4257,4359,4743,4751,5143,4975,5292,5434,5393,5522,5767,5779,6151,6366,6557,6785,6758,6814,6947,7352,7366,7485,7570,8163,8488,8916,8428,8560,8922,8635,9458,11615,11435,11876,12410,12529,13098,13760,14187,14993,15425,16454,17200,17878,17860,18970,19561
85,798,844,861,871,930,970,1030,961,1153,1194,1248,1461,1605,1652,1632,1760,1869,1877,2010,2018,2157,2234,2295,2397,2465,2521,3510,3825,3906,4170,4063,4356,4434,4384,4475,4671,4613,5017,5179,5404,5511,5479,5484,5663,5922,6042,6173,6200,6731,7002,7320,7029,7128,7362,7183,7955,9767,9739,10146,10659,10727,11287,11980,12258,13099,13453,14281,15041,15681,15656,16684
86,628,658,682,709,727,777,793,820,825,956,1011,1144,1249,1338,1378,1390,1522,1569,1612,1704,1694,1814,1896,1930,2054,2122,2804,2760,3020,3128,3352,3239,3507,3553,3530,3571,3687,3725,4024,4199,4306,4360,4361,4361,4455,4898,4874,4897,5025,5448,5694,5908,5767,5822,5973,5968,6571,8076,8185,8514,9026,9065,9607,10179,10502,11215,11484,12263,12914,13439,13563
87,467,504,539,547,584,592,630,608,687,668,805,914,958,1037,1087,1156,1175,1249,1336,1335,1436,1397,1543,1563,1626,1754,2102,2168,2162,2348,2479,2646,2543,2699,2812,2792,2827,2892,2920,3146,3261,3355,3376,3423,3395,3580,3863,3789,3902,4010,4285,4449,4671,4627,4592,4800,4830,5318,6634,6787,7045,7534,7588,7993,8550,8887,9367,9710,10340,10877,11340
88,350,367,399,423,442,463,465,470,502,551,549,696,763,768,818,895,967,952,1047,1096,1095,1177,1166,1255,1279,1349,1577,1634,1678,1642,1839,1876,2068,1883,2077,2189,2084,2151,2221,2285,2388,2498,2564,2592,2576,2676,2727,2948,2913,3039,3126,3312,3461,3600,3608,3592,3806,3824,4200,5334,5506,5686,6189,6193,6488,7022,7235,7642,7948,8444,8918
89,255,265,285,302,332,340,356,342,383,392,441,483,561,593,592,666,736,769,771,833,888,869,976,916,1022,1039,1062,1172,1261,1271,1292,1411,1422,1526,1400,1579,1663,1567,1618,1705,1708,1793,1875,1933,1888,2023,2008,2036,2213,2235,2259,2312,2486,2631,2742,2753,2770,2984,3018,3298,4203,4323,4517,4980,4928,5213,5609,5794,6089,6360,6836
90,181,188,198,218,229,253,253,253,260,293,304,370,381,436,461,462,528,574,624,602,655,707,696,757,724,831,694,780,874,952,959,961,1066,1039,1135,1064,1163,1216,1184,1198,1205,1265,1296,1365,1341,1389,1504,1457,1513,1645,1607,1680,1707,1862,1958,2070,2049,2136,2260,2302,2531,3224,3356,3429,3865,3876,4072,4357,4508,4673,4969
91,118,136,144,144,164,176,191,179,200,193,224,251,288,280,335,363,370,405,442,474,467,501,559,531,590,573,493,501,577,622,682,716,718,724,735,816,758,825,889,854,796,864,853,951,929,964,990,1088,1026,1038,1178,1145,1193,1220,1352,1446,1532,1518,1546,1672,1731,1891,2417,2510,2537,2934,2842,3072,3308,3383,3505
92,78,85,94,101,107,125,132,130,131,151,145,174,196,218,190,257,276,272,313,327,358,348,384,431,409,469,306,337,366,412,459,489,504,459,509,524,573,535,585,639,557,522,603,590,622,657,657,669,746,723,715,835,797,831,830,983,1002,1066,1059,1120,1193,1248,1359,1731,1807,1844,2158,2085,2246,2380,2462
93,46,53,60,64,72,80,92,85,94,90,107,115,124,141,154,138,198,197,202,234,233,261,253,285,319,297,192,203,243,243,289,344,358,312,316,364,378,379,381,401,388,391,352,400,360,423,440,436,462,501,490,476,595,523,568,579,656,704,773,727,770,853,884,940,1199,1265,1280,1510,1457,1582,1642
94,32,32,34,38,43,51,55,65,63,58,60,82,82,89,92,114,94,139,148,139,161,165,193,172,197,248,117,131,141,168,182,211,247,208,196,213,239,245,273,269,243,246,249,215,256,222,280,276,286,314,319,331,308,384,346,364,383,437,474,511,497,525,593,596,633,826,854,858,1036,975,1097
95,21,23,22,22,28,30,35,36,45,39,39,48,55,49,56,67,85,61,102,101,99,112,106,128,111,138,102,78,89,82,110,132,132,130,134,131,151,136,156,184,164,155,133,163,120,158,128,170,186,190,195,184,205,192,241,217,238,244,281,323,355,325,363,373,399,431,529,549,536,680,626
96,15,12,15,13,15,20,20,23,24,31,26,30,34,34,33,36,45,61,44,72,70,61,73,66,88,74,53,76,55,61,66,97,110,59,83,88,87,105,86,109,101,110,95,96,90,73,83,73,100,117,111,115,120,126,106,147,137,152,164,164,202,217,202,210,229,252,267,338,338,317,408
97,9,10,6,10,8,9,13,13,17,15,21,20,21,21,18,24,23,30,44,27,53,47,48,45,38,54,25,36,59,34,49,59,76,30,35,55,59,57,62,54,64,60,66,59,57,43,36,49,42,60,70,75,72,70,70,66,95,83,92,89,95,132,140,120,119,136,144,149,204,207,187
98,8,5,5,3,6,4,4,8,7,11,9,15,14,13,13,13,15,16,22,31,14,37,27,31,30,18,18,13,22,49,30,40,45,29,16,22,40,36,38,35,26,32,37,41,34,31,21,25,36,22,38,40,46,35,39,42,40,56,53,60,55,50,73,76,51,67,75,81,79,121,112
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,15,10,21,6,19,16,27,16,24,21,25,31,33,30,28,26,40,42,24,41,43,42,50,59
Bron: CBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
