Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,53596,53048,54499,64027,62402,61513,63755,62371,62229,62794,62629,63382,63675,66408,65347,66853,65409,67415,67001,68400,68926,74227,75255,78042,76162,79059,85233,88188,82625,112617,106022,98446,92218,89659,86114,86150,83083,81907,80208,80644,79716,79697,80491,79639,79211,78293,76863,75210,71647,68297,65032,63636,63349,59406,54579,49238,43867,40541,37564,36342,35700,35850,35692,36044,34514,33661,33269,34516,34834,35961,36185
33,55272,55614,54631,55616,65497,64047,63153,65325,63829,64006,63910,63119,64701,65136,67695,66846,68641,67125,67707,67843,69612,70453,75480,75538,78223,76548,79825,85428,88358,82730,112872,106187,98416,93946,89642,86381,86757,84259,83382,81707,82798,82127,82322,83032,82026,81879,80383,79345,78152,75048,72075,68593,66880,66992,62874,57834,52223,46561,43452,40680,39581,38745,38961,38494,38761,37416,36684,36764,37965,38527,40082
34,55064,56924,56778,55491,56540,66720,65318,64275,66392,65127,64777,64126,64062,65765,65936,69008,68140,69951,67210,68417,68820,71001,71448,75573,75615,78396,77115,79791,85393,88387,82804,112898,105863,100178,93662,89562,86536,87510,85269,84421,83452,84614,84117,84110,84787,83881,83253,82215,81669,80925,77882,74786,71141,69761,69821,65510,60296,54632,48975,46221,43513,42219,41284,41405,40827,41265,40091,39678,39582,41304,41995
35,58900,56472,57859,57357,56117,57388,67570,66276,65010,67479,65738,64838,64814,64842,66474,66854,70082,69030,69918,67847,69328,69906,71791,71511,75545,75721,79154,76983,79546,85312,88221,82770,112455,107095,99741,93307,89592,87148,88207,86056,85638,84809,86097,85320,85489,85972,84901,84624,83857,83871,83092,80250,76425,73156,71772,71729,67384,62267,56624,51166,48583,45738,44445,43195,43236,42816,43498,42785,42260,42301,44294
36,58257,59960,57180,58235,57827,56577,57954,68276,66832,65940,67871,65907,65351,65476,65324,67024,67568,71021,68993,70314,68403,69980,70429,71703,71351,75510,76333,78742,76656,79333,85077,87993,82368,113600,106372,99273,93002,89996,87510,88646,86926,86736,86043,87042,86302,86463,86532,85628,85727,85433,85445,84821,81636,78017,74744,73192,73045,68815,63848,58498,53193,50619,47480,46112,44708,44896,44687,45742,44921,44600,44730
37,58485,59144,60582,57425,58612,58174,56991,58315,68692,67457,66222,68160,66314,65863,65816,65843,67699,68153,70895,69250,70762,68828,70279,70249,71407,71181,75987,76101,78446,76410,79083,84753,87427,83284,112814,105795,98856,93104,90167,87773,89042,87597,87571,86726,87659,86977,86706,86882,86497,86748,86632,86643,85694,82692,79029,75690,73921,74149,70028,65373,60184,54803,52054,48798,47414,45983,46436,46330,47604,46953,46608
38,54754,59165,59609,60774,57659,58974,58462,57232,58510,69351,67594,66634,68496,66695,66058,66186,66306,68321,68060,71167,69572,71042,69054,70119,69974,71196,71615,75633,75762,78087,76075,78720,84219,87965,82704,112059,105254,98853,93097,90342,88178,89587,88153,87923,87071,87958,87072,86917,87335,87286,87664,87487,87270,86301,83387,79321,76142,74484,74920,71206,66695,61515,56046,53079,49643,48404,47062,47977,47754,49332,48802
39,56108,55379,59404,59681,60926,57843,59170,58647,57297,58998,69411,67645,66836,68814,66870,66431,66600,66714,68178,68239,71399,69775,71125,68780,69784,69715,71596,71261,75230,75311,77720,75640,78099,84381,87197,82019,111322,105279,98677,92951,90631,88381,90013,88388,88135,87196,87879,87154,87096,87770,87752,88339,87677,87612,86612,83501,79373,76363,74959,75682,72193,67798,62587,56848,53612,50296,49269,48370,49060,49112,50841
40,57114,56604,55527,59299,59701,61138,58028,59325,58747,57637,59041,69707,67785,67080,68895,67085,66644,66925,66589,68263,68365,71517,69845,70919,68499,69479,70052,71152,70814,74792,74972,77405,75010,78386,83548,86560,81388,111161,105002,98463,93129,90732,88562,90106,88408,87998,86964,87743,87249,87452,88120,88183,88447,87864,87746,86619,83486,79460,76663,75491,76651,73098,68708,63146,57344,54252,51056,50339,49415,50212,50491
41,56390,57586,56759,55410,59233,59757,61274,58061,59370,59072,57606,59258,69812,67933,67114,69123,67302,66916,66696,66614,68282,68428,71517,69604,70580,68198,70033,69683,70649,70383,74387,74645,76745,74983,77588,82833,85877,81177,110742,104664,98411,93181,90840,88480,90012,88270,87663,86532,87644,87371,87543,88254,88036,88305,87745,87451,86311,83227,79480,76956,75815,77200,73611,69080,63412,57694,54783,51875,51102,50322,51261
