Onderwerp,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Man - 1st Marriage,"0,96","1,05","1,02","1,01","1,04","1,05","1,08","1,10","1,07","1,04","1,03","1,07","1,05","1,06","1,12","1,14","1,12","1,11","1,08","1,02","1,02","0,99","0,93","0,84","0,86","0,78","0,75","0,71","0,67","0,64","0,67","0,62","0,60","0,55","0,55","0,56","0,58","0,58","0,59","0,60","0,63","0,61","0,60","0,56","0,52","0,50","0,52","0,52","0,53","0,56","0,55","0,52","0,55","0,53","0,48","0,49","0,51","0,52","0,55","0,53","0,52","0,50","0,49","0,45","0,46","0,45","0,45","0,43","0,43","0,42"
Man - 2nd Marriage,"0,18","0,17","0,16","0,15","0,15","0,15","0,15","0,16","0,14","0,14","0,13","0,13","0,13","0,13","0,13","0,13","0,13","0,13","0,13","0,13","0,14","0,14","0,15","0,15","0,14","0,13","0,13","0,14","0,14","0,13","0,14","0,13","0,13","0,13","0,15","0,15","0,17","0,16","0,16","0,16","0,17","0,17","0,17","0,16","0,15","0,15","0,16","0,16","0,17","0,16","0,17","0,15","0,16","0,15","0,14","0,14","0,14","0,14","0,15","0,14","0,16","0,15","0,15","0,14","0,13","0,14","0,14","0,14","0,14","0,14"
Women - 1st Marriage,"0,96","1,05","1,03","1,02","1,05","1,07","1,11","1,13","1,10","1,06","1,06","1,09","1,08","1,08","1,13","1,15","1,13","1,10","1,07","1,04","1,07","1,06","1,02","0,92","0,93","0,84","0,80","0,75","0,70","0,66","0,69","0,64","0,62","0,57","0,57","0,58","0,60","0,61","0,62","0,63","0,66","0,65","0,64","0,60","0,56","0,53","0,56","0,56","0,58","0,61","0,60","0,56","0,59","0,56","0,52","0,52","0,53","0,54","0,56","0,55","0,53","0,51","0,50","0,46","0,46","0,45","0,45","0,44","0,43","0,41"
Women - 2nd Marriage,"0,13","0,12","0,11","0,10","0,10","0,10","0,10","0,10","0,09","0,09","0,09","0,08","0,08","0,08","0,09","0,08","0,08","0,08","0,08","0,08","0,10","0,09","0,09","0,10","0,10","0,09","0,09","0,10","0,10","0,10","0,10","0,10","0,10","0,10","0,12","0,12","0,14","0,13","0,13","0,14","0,15","0,15","0,15","0,14","0,13","0,12","0,13","0,14","0,14","0,14","0,14","0,13","0,14","0,13","0,12","0,12","0,12","0,13","0,13","0,12","0,14","0,14","0,13","0,12","0,12","0,12","0,12","0,12","0,12","0,12"
