Onderwerp,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gemiddeld 1e kind,"0,804","0,824","0,873","0,850","0,859","0,886","0,908","0,941","0,969","0,987","0,959","0,990","0,995","0,995","1,004","1,010","1,007","1,013","0,984","0,970","0,905","0,870","0,842","0,778","0,741","0,707","0,689","0,662","0,666","0,668","0,680","0,658","0,628","0,633","0,657","0,655","0,667","0,673","0,681","0,681","0,724","0,727","0,703","0,700","0,703","0,691","0,703","0,739","0,783","0,794","0,826","0,821","0,822","0,828","0,819","0,802","0,797","0,799","0,819","0,839","0,841","0,821","0,801","0,778","0,787","0,752","0,748","0,724","0,706","0,712"
Gemiddeld 2e kind,"0,743","0,717","0,717","0,726","0,740","0,739","0,757","0,776","0,794","0,839","0,845","0,875","0,868","0,890","0,892","0,873","0,864","0,861","0,861","0,898","0,863","0,806","0,763","0,704","0,682","0,650","0,644","0,625","0,620","0,592","0,593","0,574","0,544","0,524","0,521","0,537","0,558","0,556","0,540","0,544","0,556","0,557","0,559","0,560","0,555","0,554","0,545","0,546","0,562","0,577","0,604","0,606","0,622","0,630","0,623","0,623","0,635","0,627","0,651","0,645","0,647","0,640","0,631","0,618","0,628","0,613","0,612","0,596","0,583","0,569"
Gemiddeld 3e kind,"0,531","0,516","0,509","0,501","0,495","0,499","0,492","0,497","0,499","0,511","0,521","0,548","0,543","0,551","0,556","0,523","0,489","0,461","0,441","0,463","0,438","0,384","0,317","0,250","0,217","0,194","0,194","0,191","0,201","0,206","0,223","0,223","0,215","0,206","0,208","0,212","0,219","0,219","0,215","0,219","0,227","0,221","0,219","0,212","0,212","0,198","0,195","0,192","0,198","0,198","0,205","0,200","0,206","0,209","0,206","0,206","0,209","0,212","0,223","0,224","0,226","0,217","0,211","0,205","0,214","0,211","0,217","0,213","0,211","0,208"
Gemiddeld 4e kind of meer,"1,019","0,994","0,989","0,956","0,935","0,909","0,897","0,866","0,846","0,833","0,797","0,804","0,770","0,757","0,715","0,633","0,543","0,479","0,429","0,417","0,366","0,301","0,229","0,172","0,132","0,113","0,105","0,100","0,096","0,097","0,105","0,108","0,108","0,105","0,106","0,107","0,109","0,110","0,109","0,109","0,111","0,107","0,107","0,100","0,098","0,089","0,086","0,085","0,085","0,083","0,087","0,083","0,081","0,080","0,078","0,078","0,080","0,080","0,081","0,082","0,082","0,081","0,080","0,078","0,084","0,082","0,086","0,086","0,086","0,085"
