Onderwerp,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
2nd Child after x years,2.6,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.8,2.8,2.9,3,3,3.1,3,3.1,3.1,3,2.9,2.9,2.9,2.8,2.6,2.4,2.4,2.3,2.3,2.2,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2,1.9,2,2,2.1,2.1,2.2,2,2,2.1,2.1,1.9,2,2.1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.2,2.1,2.1,2,2.1
3rd Child after x years,2.2,2.2,2.2,2.3,2.4,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.7,2.7,2.8,2.9,3,3.1,3.1,3.1,3.1,3,2.9,2.9,2.8,2.6,2.4,2.3,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,1.8,1.7,1.7,1.7,1.6,1.7,1.6,1.4,1.4,1.5,1.5,1.4,1.4,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.5,1.4,1.4,1.4
4th Child after x years,4,4.1,4,3.9,3.9,4,3.8,3.9,3.9,3.9,3.9,4,3.9,3.9,4,4,4,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4,3.8,3.6,3.6,3.3,3.1,3,3,2.9,2.8,2.8,2.6,2.6,2.6,2.5,2.5,2.3,2.2,2.1,2,2,2,1.9,1.8,1.7,1.8,1.8,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.9,1.8,1.6,1.8,1.6,1.7,1.7,1.7,1.6
