Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
73,9259,9580,9632,10185,10575,10477,11134,11019,11905,12223,12746,13009,13514,13588,14095,14814,14701,15995,16101,16445,16873,17279,17246,17193,17845,18504,19136,19247,19916,20187,20478,20772,21280,21834,21498,21561,22823,23305,23617,22600,22828,23115,22684,23573,28025,28170,28161,28976,28727,28370,28573,28425,29945,30094,31597,31431,32224,31974,32957,33367,34654,35354,37563,38842,40097,39343,41533,44951,47739,45704,64415
74,7682,8255,8589,8583,9104,9505,9385,9900,9901,10755,11060,11526,11790,12185,12211,12746,13320,13228,14502,14443,14746,15106,15557,15457,15513,16146,16797,17231,17444,18029,18299,18595,18980,19439,19848,19665,19686,20811,21371,21649,20620,20990,21237,20827,21651,25872,25972,25900,26830,26529,26268,26534,26416,27847,28053,29581,29478,30334,30134,31166,31530,32830,33633,35780,37049,38317,37545,39649,43001,45634,43827
75,6605,6834,7290,7675,7602,8085,8434,8285,8763,8779,9641,9938,10309,10495,10845,10934,11349,11825,11821,12930,12829,13105,13448,13821,13764,13874,14219,14984,15527,15660,16242,16536,16788,17161,17597,17909,17758,17862,18872,19427,19636,18729,19091,19334,18944,19801,23667,23683,23617,24631,24413,24120,24496,24434,25808,26102,27502,27554,28417,28310,29281,29745,31041,31767,33848,35133,36394,35740,37671,40911,43456
76,5679,5747,5898,6365,6627,6666,7024,7374,7263,7681,7754,8525,8786,9042,9218,9665,9577,10111,10450,10425,11403,11341,11593,11784,12215,12241,12472,12586,13336,13874,13972,14530,14779,15147,15305,15769,16014,15929,16057,16994,17393,17706,16881,17241,17365,17197,17924,21427,21456,21509,22433,22281,22092,22397,22418,23796,24090,25478,25704,26552,26412,27351,27881,29143,29893,31866,33181,34384,33799,35648,38819
77,4636,4883,4932,5132,5454,5769,5794,5984,6473,6287,6716,6831,7458,7638,7804,8022,8426,8362,8853,9036,9089,9878,9830,10003,10305,10734,10706,10946,11132,11687,12216,12370,12792,13048,13409,13527,13960,14161,14174,14258,15060,15458,15666,15094,15395,15610,15480,16064,19301,19412,19445,20234,20181,20034,20280,20414,21691,22113,23506,23716,24587,24579,25444,26003,27201,27947,29780,31089,32266,31800,33571
78,3554,4003,4128,4217,4341,4660,4915,4911,5050,5587,5368,5763,5870,6365,6528,6753,6907,7265,7198,7690,7693,7860,8462,8312,8590,8885,9431,9169,9560,9694,10200,10594,10773,11135,11432,11790,11835,12278,12576,12504,12498,13293,13611,13898,13313,13764,13863,13646,14328,17224,17304,17362,18105,18099,18041,18307,18444,19799,20239,21546,21748,22583,22639,23507,24120,25252,25927,27676,28935,30063,29678
79,2894,2974,3353,3432,3484,3671,3917,4077,4148,4212,4735,4612,4890,4918,5324,5572,5714,5859,6228,6032,6567,6511,6690,7092,7055,7339,7748,8009,7887,8146,8320,8820,9130,9252,9600,9872,10184,10200,10641,10985,10760,10821,11576,11909,12047,11710,11996,12252,12008,12641,15247,15336,15370,16046,16085,16076,16383,16677,18053,18385,19645,19808,20576,20662,21576,22141,23272,23880,25508,26788,27781
80,2126,2398,2392,2783,2851,2869,3041,3216,3380,3396,3458,3960,3843,4062,4091,4458,4658,4733,4890,5163,5010,5490,5381,5575,5915,5895,6220,6521,6825,6671,6926,7055,7489,7789,7927,8115,8435,8769,8756,9167,9310,9202,9311,10009,10197,10504,10195,10308,10629,10387,11012,13214,13362,13462,14068,14252,14256,14605,14835,16126,16418,17746,17941,18561,18676,19674,20087,21158,21713,23374,24468
81,1702,1714,1942,1908,2220,2292,2355,2428,2636,2729,2724,2897,3213,3133,3293,3341,3640,3787,3836,3988,4223,4103,4495,4364,4530,4916,4884,5132,5503,5682,5617,5796,5915,6322,6480,6672,6797,7142,7450,7380,7619,7826,7765,7868,8357,8751,8916,8624,8898,9032,8830,9438,11353,11417,11693,12191,12430,12474,12876,13042,14336,14542,15832,15972,16518,16848,17628,18085,19081,19541,21194
82,1254,1345,1351,1574,1497,1802,1822,1844,1930,2072,2169,2188,2322,2579,2461,2684,2696,2888,3086,3061,3177,3391,3299,3595,3455,3729,4057,3994,4195,4536,4688,4601,4817,4871,5264,5401,5447,5609,5934,6120,6084,6336,6524,6492,6464,7118,7372,7450,7284,7437,7613,7431,8027,9674,9713,10010,10511,10713,10842,11177,11432,12457,12813,13900,14111,14666,14885,15560,16100,16918,17496
83,954,961,1043,1029,1242,1158,1385,1385,1450,1506,1617,1781,1698,1773,2014,2000,2097,2147,2312,2421,2400,2515,2667,2523,2851,2727,3005,3242,3232,3404,3688,3810,3757,3893,3964,4299,4399,4413,4576,4842,4941,4961,5190,5380,5245,5359,5894,6093,6147,6011,6152,6277,6162,6657,8119,8128,8407,8908,9136,9273,9595,9799,10699,11081,12135,12222,12758,12945,13601,14046,14907
84,660,702,710,798,740,994,851,1058,1040,1117,1137,1289,1382,1285,1354,1570,1547,1647,1637,1763,1881,1836,1949,2047,1917,2217,2320,2349,2574,2588,2722,2967,3055,2891,3087,3173,3405,3501,3553,3661,3797,3929,3993,4186,4268,4318,4329,4785,4941,4961,4840,4962,5112,5041,5448,6727,6738,7021,7445,7713,7897,8194,8341,9124,9457,10349,10438,11015,11066,11701,12100
85,341,352,379,390,423,421,491,464,554,590,615,623,680,700,693,739,789,799,869,849,906,946,952,941,1010,986,1652,1815,1856,1991,2038,2161,2307,2325,2281,2419,2483,2662,2761,2800,2840,2939,3080,3158,3298,3389,3418,3406,3793,3927,3894,3843,3937,4119,4069,4389,5426,5532,5725,6217,6405,6547,6841,6968,7634,8026,8692,8817,9249,9199,9835
86,279,288,301,310,334,356,382,394,414,480,504,491,543,581,570,597,643,671,701,721,723,772,796,802,816,858,1162,1232,1409,1428,1541,1560,1664,1701,1747,1748,1822,1938,2076,2153,2117,2168,2194,2320,2369,2520,2627,2685,2693,2941,3060,3033,2982,3077,3208,3219,3463,4328,4445,4603,5020,5188,5400,5585,5684,6293,6571,7148,7267,7563,7492
87,197,233,239,242,259,274,314,301,350,344,407,392,429,460,462,476,511,537,579,580,604,605,647,656,683,688,880,873,933,1037,1098,1184,1179,1225,1260,1327,1316,1349,1473,1585,1581,1571,1623,1604,1709,1837,1881,1992,1984,2060,2211,2336,2333,2287,2297,2445,2476,2698,3405,3503,3661,3996,4156,4304,4498,4600,5017,5265,5719,5736,6074
88,164,159,192,190,201,211,236,244,262,292,282,306,334,355,358,381,400,420,454,468,478,497,496,525,551,565,610,670,632,693,775,832,893,807,903,921,1011,939,1003,1095,1138,1166,1120,1200,1154,1271,1334,1423,1496,1423,1513,1656,1751,1686,1711,1757,1833,1909,2045,2619,2703,2831,3153,3217,3321,3537,3585,3925,4090,4459,4507
89,112,128,129,151,153,160,178,181,205,209,243,219,254,271,273,296,318,319,352,357,383,384,404,392,431,446,369,440,512,457,532,572,615,583,573,657,668,687,673,722,723,786,825,831,808,845,895,971,1053,1039,1021,1103,1189,1271,1208,1239,1236,1353,1444,1513,1973,2041,2114,2344,2407,2482,2661,2705,2941,3040,3363
90,85,88,98,101,119,122,135,131,152,167,167,175,178,200,205,220,237,249,261,272,285,307,304,313,314,338,316,256,333,370,357,393,427,376,414,411,446,463,499,488,469,507,532,561,566,559,590,682,693,675,739,675,777,829,910,870,873,871,969,1050,1107,1440,1525,1522,1679,1778,1805,1930,1959,2131,2240
91,57,65,69,74,80,91,100,97,105,117,131,125,140,138,150,162,177,186,198,197,209,224,241,233,244,243,154,229,193,235,260,249,293,230,237,282,282,305,316,349,298,326,310,357,355,372,380,424,442,436,459,485,475,535,560,626,605,615,608,673,725,801,1054,1059,1056,1172,1264,1256,1324,1338,1514
92,39,43,50,52,57,60,72,70,76,79,92,87,97,106,102,116,128,134,143,147,147,161,173,184,178,185,122,117,166,132,171,207,181,148,157,160,189,188,207,213,222,194,210,210,226,222,231,283,278,263,291,299,317,290,346,366,419,433,414,422,456,487,536,713,735,721,810,869,861,912,897
93,28,30,31,36,39,42,46,52,54,58,57,63,68,71,74,75,88,93,102,100,107,103,117,125,144,129,65,79,88,118,102,130,163,72,99,100,106,115,132,142,104,148,118,133,126,138,152,181,175,147,169,173,190,196,174,222,244,291,289,286,274,323,311,351,462,494,463,521,563,551,598
94,18,21,23,21,25,28,31,32,40,38,42,44,47,46,48,57,55,65,72,72,69,76,71,85,92,106,32,47,59,67,87,78,96,69,44,68,66,66,75,92,74,62,87,70,84,68,68,117,115,87,95,110,106,122,116,119,129,146,168,182,178,168,199,179,214,288,304,281,319,345,339
95,13,14,15,16,13,18,21,20,24,30,27,26,31,35,30,35,42,38,52,51,53,47,49,42,61,64,23,28,32,42,52,75,89,42,44,33,51,37,52,58,43,49,38,61,36,45,34,53,69,63,48,61,72,61,63,75,80,78,84,93,109,113,97,124,110,125,169,189,173,199,184
96,10,10,8,11,11,8,11,15,14,18,20,18,21,19,22,21,25,29,27,37,34,38,34,32,27,43,13,24,21,28,39,50,58,10,24,28,24,27,20,35,24,26,27,24,40,16,22,26,35,27,31,24,37,40,37,34,45,48,50,53,57,68,74,54,75,71,78,94,117,103,109
97,5,8,8,7,8,8,5,6,12,10,12,15,13,13,12,14,14,16,22,17,28,23,25,23,21,13,9,13,18,17,25,35,40,10,6,21,14,17,22,15,11,13,16,17,14,14,6,22,18,8,12,16,12,19,19,23,18,24,24,28,29,32,44,42,32,44,45,37,46,61,47
98,4,3,5,6,5,6,7,3,5,10,6,8,9,9,8,8,9,7,10,14,10,20,13,18,15,14,4,8,10,18,15,22,25,6,7,4,18,7,14,16,6,6,11,9,12,4,4,8,13,5,5,11,6,7,10,10,9,12,13,14,22,12,20,25,19,15,21,30,18,27,30
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,6,3,2,2,7,6,7,6,7,6,8,8,6,17,7,9,15,14,10,13,11,8,14
