Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
32,55476,54736,56293,66822,66005,64708,66963,66046,65026,65090,64870,66446,66241,68843,66997,68325,65734,66759,66535,67624,67646,71188,72852,74488,72340,75005,81908,85900,81221,111516,107211,99464,94364,91879,89164,90215,88365,87806,87897,87829,87931,88073,89747,88627,90471,88838,87765,87129,83665,81146,78821,77931,78487,74852,69363,64721,58249,54411,50642,48721,47800,47556,46879,47534,46470,44149,43376,44391,44990,46165,46241
33,56161,56515,55459,56711,67388,66774,65453,67635,66605,65934,65540,65014,67064,66708,69279,67472,68747,66119,67000,66811,67841,67896,71495,73003,74462,72383,75475,81802,85705,81169,111277,107026,98970,94497,91347,88666,90122,88716,88226,88492,88679,89041,89461,91015,90000,91449,89699,89040,88624,85575,83196,80702,79577,80539,76825,71167,66294,59671,56094,52587,50892,49896,49552,48810,49360,48375,46385,45814,46852,47847,49237
34,55445,57185,57026,55708,57096,67870,67323,65942,68106,67409,66157,65477,65345,67452,66974,69570,67738,68948,66225,67198,66926,68084,68151,71624,72936,74392,72759,75281,81532,85404,80942,110902,106380,99020,93776,90707,88389,90216,88897,88593,88900,89521,89936,90427,91949,90557,91809,90449,89953,89876,86942,84567,81644,80891,81926,78108,72269,67496,60824,57602,54277,52651,51465,51055,50265,50954,50161,48351,47951,49233,50298
35,59036,56216,57588,57162,55938,57417,68302,67614,66278,68764,67608,66143,65766,65652,67622,67218,69768,67955,69088,66311,67279,66999,68309,68139,71533,72837,74603,72485,75017,81215,85174,80672,110227,105732,98172,93075,90168,88276,90211,88993,88925,89524,90017,90613,90979,92308,90755,92065,90977,90865,90857,87857,85056,82443,81852,82579,78835,73054,68473,61997,58855,55564,53934,52646,52021,51324,52278,51808,49978,49751,51299
36,58325,59690,56521,57605,57225,56133,57676,68472,67757,66796,68927,67696,66341,66038,65762,67803,67373,69902,67918,69187,66375,67365,67078,68294,68096,71480,73154,74298,72199,74823,80870,84883,80174,109442,104773,97442,92466,89953,88187,90183,89094,89206,90011,90332,91046,91128,92252,90731,92226,91567,91407,91447,88129,85540,82927,82132,82882,79208,73518,69377,62946,59871,56495,54717,53464,52859,52352,53726,53181,51594,51400
37,57752,58890,59841,56554,57655,57424,56298,57756,68588,68211,66765,69022,67880,66487,66089,65870,67913,67456,69878,67971,69202,66411,67459,67071,68069,67953,71692,72887,74011,71847,74545,80462,84260,79670,108648,103814,96711,91996,89742,88050,90081,89289,89354,90173,90488,90784,90906,92099,90642,92474,91884,91679,91405,88198,85447,82822,82052,82960,79460,74067,70076,63781,60670,56982,55196,53981,53566,53306,54837,54406,52962
38,54305,58191,58887,59648,56538,57747,57530,56381,57859,68942,68126,66837,69035,67992,66461,66159,65917,67960,67414,69847,67881,69246,66417,67349,66837,67894,68138,71361,72546,73705,71593,74284,79916,83736,78999,107686,102971,96215,91714,89540,87838,90002,89236,89373,90179,90230,90408,90532,91993,90761,92441,91837,91443,91390,88112,85166,82592,81907,82846,79683,74676,70575,64269,61037,57207,55448,54458,54311,54312,55847,55613
39,54620,54676,58279,58722,59583,56506,57847,57505,56300,58125,68829,68185,66869,69151,67892,66461,66144,65882,67922,67285,69671,67822,69182,66251,67116,66616,67971,67820,71077,72209,73457,71188,73725,79287,82868,78296,106766,102525,95846,91454,89198,87734,89993,89112,89159,89651,89664,90018,90043,91917,90717,92377,91373,90950,90998,87675,84693,82283,81799,82751,79896,74898,70804,64337,60992,57349,55728,55016,54935,55028,56732
40,55505,54944,54764,57988,58581,59538,56531,57800,57510,56487,58030,69056,68110,66888,69052,67873,66429,66048,65694,67779,67148,69561,67730,69006,66006,66876,66713,67667,67447,70693,71876,73160,70644,73314,78502,82121,77562,106237,102004,95355,91065,89046,87636,89785,88892,88637,89077,89197,89699,89864,91711,90572,91929,90981,90538,90443,87051,84231,81939,81634,82912,79980,74966,70920,64310,61054,57569,56167,55566,55536,55860
41,54884,55726,54851,54533,57826,58512,59429,56402,57704,57651,56341,58033,68955,68090,66745,68994,67724,66303,65866,65481,67573,66967,69380,67548,68729,65714,66840,66375,67278,67074,70301,71508,72536,70156,72606,77836,81345,77032,105623,101415,94862,90695,88661,87311,89519,88306,88051,88503,88718,89398,89595,91429,90032,91406,90311,89830,89745,86241,83725,81511,81409,82849,79987,74920,70598,64091,60964,57753,56479,56009,56129
42,53593,55056,55582,54555,54340,57707,58386,59344,56269,57784,57479,56363,57954,68876,67845,66608,68855,67541,66082,65638,65288,67360,66813,69109,67229,68387,65701,66405,65980,66921,66687,69997,70961,72142,69355,71819,77001,80854,76500,104978,100891,94506,90399,88221,86899,88858,87539,87292,87978,88233,89025,89143,90685,89254,90739,89575,88992,88884,85647,83207,81180,81148,82615,79554,74459,70180,63919,60968,57837,56775,56425
43,52441,53703,54880,55308,54384,54160,57584,58246,59172,56291,57563,57413,56189,57784,68650,67676,66430,68649,67309,65880,65359,65064,67072,66469,68776,66901,68097,65186,65994,65545,66565,66326,69441,70274,71432,68665,71105,76495,80311,75898,104332,100334,94124,89920,87877,86238,88122,86783,86716,87508,87727,88556,88544,89894,88566,89852,88788,88140,88139,85078,82749,80742,80655,82081,78921,73887,69754,63839,61005,57962,57002
44,51374,52453,53462,54547,55021,54174,53978,57391,58058,59144,56071,57491,57188,56018,57516,68352,67390,66175,68321,66994,65596,65121,64763,66663,66038,68342,66876,67517,64759,65574,65157,66159,65827,68900,69549,70675,68018,70476,75965,79784,75461,103821,99822,93597,89370,87238,85503,87285,86066,86234,87075,87266,87792,87806,89134,87757,88939,87920,87361,87527,84543,82320,80232,80119,81400,78211,73439,69544,63752,61118,58099
45,50431,51362,52240,53095,54275,54777,53934,53725,57219,58036,58877,55964,57272,56967,55730,57265,68022,67065,65835,67916,66626,65204,64721,64365,66219,65610,67916,66295,67067,64312,65126,64761,65647,65169,68178,68745,69943,67498,69949,75390,79224,75027,103354,99261,93051,88641,86479,84659,86633,85636,85736,86481,86623,87074,87071,88344,86874,88187,87180,86767,87025,83953,81980,79669,79417,80582,77614,73107,69388,63660,61209
46,48983,50431,51160,51930,52754,53906,54527,53633,53453,57157,57684,58712,55727,57033,56618,55434,56960,67654,66641,65454,67474,66260,64860,64302,63881,65712,65264,67157,65567,66332,63702,64499,63975,65005,64337,67432,68074,69364,66959,69389,74824,78825,74582,102755,98616,92243,87858,85706,83932,86122,85146,85175,85760,85875,86276,86203,87325,86118,87442,86590,86122,86366,83391,81409,78968,78510,80032,77178,72825,69214,63661
47,48465,48900,50182,50817,51589,52555,53698,54244,53377,53362,56776,57578,58363,55427,56626,56268,55084,56523,67147,66118,64910,66968,65826,64326,63765,63271,65232,64498,66530,65002,65758,63173,63870,63354,64217,63622,66725,67481,68744,66478,68867,74352,78327,74131,102026,97742,91467,87034,84994,83403,85641,84534,84409,85014,85129,85480,85383,86503,85440,86712,85998,85555,85758,82805,80794,78150,77903,79604,76859,72488,69138
48,46770,48320,48649,49824,50404,51240,52289,53339,53924,53217,53051,56575,57161,58052,55030,56219,55871,54617,56080,66528,65572,64349,66375,65185,63686,63190,62549,64520,63816,65891,64370,65221,62517,63383,62668,63406,62983,66157,66849,68127,65927,68409,73934,77771,73596,101109,96818,90649,86352,84454,82836,84998,83850,83650,84352,84360,84690,84662,85816,84762,86058,85328,85046,85014,82051,79997,77427,77441,79252,76613,72331
49,43986,46568,48017,48218,49458,50088,50911,51916,52948,53632,52837,52763,56072,56754,57576,54589,55744,55436,54125,55552,65907,64961,63691,65651,64443,62990,62469,61778,63807,63116,65255,63734,64526,61884,62601,61915,62634,62344,65508,66167,67545,65413,67862,73371,77181,72862,100084,95787,89891,85719,83846,82335,84350,83197,82875,83491,83490,83829,83971,85113,84197,85518,84719,84359,84368,81168,79364,76902,77085,78845,76408
50,43220,43763,46191,47558,47752,49102,49714,50510,51502,52615,53201,52762,52338,55569,56160,57089,54074,55224,54891,53576,54952,65216,64180,62887,64841,63678,62232,61680,61041,63110,62437,64596,62997,63843,61099,61821,61207,61948,61731,64777,65548,67018,64933,67323,72665,76419,72166,99080,95041,89283,85177,83332,81681,83711,82551,82137,82755,82811,83180,83461,84591,83697,84998,84271,83724,83695,80543,78980,76715,76899,78795
51,42068,42892,43366,45752,47114,47305,48679,49267,50075,51130,52050,53004,52240,51881,54926,55595,56427,53477,54602,54284,52960,54289,64401,63413,62124,64012,62958,61308,60878,60229,62293,61689,63785,62169,62941,60312,61042,60514,61267,61033,64142,64915,66420,64235,66722,71895,75589,71431,98195,94325,88598,84517,82606,80897,82940,81757,81409,81974,82070,82472,82800,83885,83145,84328,83566,83004,83084,79953,78525,76418,76635
52,41548,41725,42448,42855,45236,46632,46837,48198,48737,49640,50607,51637,52404,51689,51251,54319,54913,55757,52800,53975,53642,52289,53625,63482,62519,61222,63078,62000,60422,60041,59481,61557,60862,62888,61261,61997,59489,60278,59788,60575,60280,63499,64321,65757,63557,65996,71098,74628,70718,97391,93528,87837,83732,81854,80173,82110,80919,80658,81249,81433,81855,82209,83281,82529,83542,82709,82333,82542,79593,78165,76177
53,40438,41172,41194,41874,42345,44683,46096,46323,47670,48303,49060,49964,51091,51728,50955,50581,53590,54169,54991,52072,53202,52879,51551,52824,62479,61555,60504,62120,61072,59493,59163,58610,60646,59885,61903,60285,61035,58643,59449,59054,59778,59563,62778,63595,65072,62776,65225,70230,73752,70004,96460,92716,86976,82897,81009,79393,81297,80128,79903,80517,80861,81260,81546,82656,81806,82767,82032,81799,82058,79272,77837
54,38054,39966,40626,40618,41300,41765,44101,45583,45712,47136,47660,48454,49226,50384,50928,50253,49849,52882,53351,54173,51183,52353,52059,50673,51925,61429,60527,59456,61125,60092,58541,58246,57691,59504,58864,60928,59283,60075,57840,58680,58257,59022,58922,62015,62855,64179,61975,64416,69387,73035,69320,95585,91690,86057,82145,80089,78676,80524,79331,79172,79802,80146,80601,80787,81965,81086,82043,81466,81351,81644,78919
